temperature,humidity,wind_speed,precipitation,general_outfit
35.0,40,5,0.0,"T-shirt, shorts, and sandals"
32.0,50,7,0.0,"T-shirt, shorts, and sandals"
30.0,60,10,0.5,"T-shirt, shorts, and sandals"
28.0,70,12,1.0,"Short-sleeve shirt, jeans, and sneakers"
25.0,65,8,0.0,"Polo shirt, chinos, and loafers"
22.0,60,10,0.0,Moderate casual wear
20.0,70,12,0.0,"Hoodie, joggers, and sneakers"

18.0,75,15,0.3,Light jacket wear
16.0,80,18,0.5,Moderate jacket wear
14.0,85,20,1.0,"Waterproof jacket, umbrella, and boots"

12.0,85,25,1.5,"Waterproof jacket, umbrella, and boots"

10.0,90,30,2.0,"Heavy coat, scarf, boots, and gloves"


8.0,90,28,3.0,"Heavy coat, scarf, boots, and gloves"


5.0,92,25,2.5,"Heavy coat, scarf, boots, and gloves"


2.0,95,30,4.0,"Puffer jacket, thermal layers, gloves, beanie"

0.0,95,35,5.0,"Puffer jacket, thermal layers, gloves, beanie"

33.0,80,12,2.0,"Waterproof jacket, umbrella, and boots"

30.0,85,10,3.0,"Waterproof jacket, umbrella, and boots"

28.0,40,15,0.0,"Short-sleeve shirt, jeans, and sneakers"
26.0,90,20,4.0,"Waterproof jacket, umbrella, and boots"

24.0,60,5,0.0,"Polo shirt, chinos, and loafers"
27.0,80,20,0.0,"T-shirt, shorts, and sandals"
22.0,50,10,0.0,"Polo shirt, chinos, and loafers"
20.0,85,15,2.0,"Waterproof jacket, umbrella, and boots"

18.0,65,18,0.0,Light jacket wear
16.0,70,20,1.0,Light jacket wear
14.0,90,22,3.0,"Waterproof jacket, umbrella, and boots"

12.0,80,18,0.5,Moderate jacket wear
10.0,75,25,1.0,"Heavy coat, scarf, boots, and gloves"


8.0,60,20,0.0,"Heavy coat, scarf, boots, and gloves"


5.0,95,28,2.0,"Heavy coat, scarf, boots, and gloves"


2.0,80,20,0.5,"Puffer jacket, thermal layers, gloves, beanie"

0.0,85,25,1.0,"Heavy coat, scarf, boots, and gloves"


-2.0,90,30,5.0,"Puffer jacket, thermal layers, gloves, beanie"

7.0,70,8,0.0,Light sweater wear
8.5,80,10,0.0,Light sweater wear
9.0,75,12,0.0,"Heavy coat, scarf, boots, and gloves"


10.0,65,15,0.0,"Hoodie, joggers, and sneakers"

11.0,60,10,0.0,"Polo shirt, chinos, and loafers"
12.0,85,8,0.5,"Waterproof jacket, umbrella, and boots"

13.0,70,6,0.0,Light jacket wear
14.0,50,12,0.0,Light sweater wear
15.0,55,7,0.0,"Polo shirt, chinos, and loafers"
16.0,75,18,0.3,Moderate jacket wear
17.0,80,20,0.0,Light jacket wear
18.0,85,15,0.0,Light jacket wear
19.0,60,12,0.0,Light sweater wear
21.0,55,10,0.0,"Polo shirt, chinos, and loafers"
22.0,65,8,0.0,Light jacket wear
23.0,70,12,0.0,"Polo shirt, chinos, and loafers"
24.0,75,14,0.0,Light jacket wear
25.0,60,10,0.0,"Polo shirt, chinos, and loafers"
26.0,55,12,0.0,"Short-sleeve shirt, jeans, and sneakers"
27.0,50,8,0.0,"T-shirt, shorts, and sandals"
28.0,45,10,0.0,"T-shirt, shorts, and sandals"
6.0,75,15,0.2,Light sweater wear
7.2,85,18,0.0,Light sweater wear
7.8,80,10,0.0,"Heavy coat, scarf, boots, and gloves"


8.1,70,12,0.0,"Heavy coat, scarf, boots, and gloves"


8.3,65,15,0.0,Light jacket wear
8.7,80,20,0.0,"Hoodie, joggers, and sneakers"

8.9,75,22,0.1,Moderate jacket wear
9.1,85,10,0.0,"Polo shirt, chinos, and loafers"
9.5,90,18,0.5,"Waterproof jacket, umbrella, and boots"

9.8,70,15,0.0,"Polo shirt, chinos, and loafers"
10.2,60,12,0.0,"Polo shirt, chinos, and loafers"
10.5,65,10,0.0,Light jacket wear
10.8,75,8,0.0,"Hoodie, joggers, and sneakers"

11.2,80,15,0.0,Light sweater wear
11.5,70,10,0.0,Light sweater wear
11.8,60,5,0.0,"Polo shirt, chinos, and loafers"
12.3,65,12,0.0,Moderate jacket wear
12.7,75,20,0.0,"Waterproof jacket, umbrella, and boots"

13.1,80,18,0.2,Light jacket wear
13.5,85,15,0.0,"Polo shirt, chinos, and loafers"
14.0,70,10,0.0,Light jacket wear
14.5,65,12,0.0,"Polo shirt, chinos, and loafers"
15.0,60,8,0.0,Light sweater wear

23.0,55,10,0.0,"T-shirt, shorts, and sandals"
21.0,60,12,0.1,"T-shirt, shorts, and sandals"
22.5,65,8,0.0,"T-shirt, shorts, and sandals"
24.0,70,10,0.0,"T-shirt, shorts, and sandals"

12.0,65,15,0.0,"Light sweater wear"

14.0,75,12,0.2,"Insulated jacket, thermal top, and jeans"
13.0,70,15,0.3,"Insulated jacket, thermal top, and jeans"
12.5,80,18,0.1,"Insulated jacket, thermal top, and jeans"
11.0,85,20,0.0,"Insulated jacket, thermal top, and jeans"
10.5,75,12,0.4,"Insulated jacket, thermal top, and jeans"

2.0,90,28,3.0,"Puffer jacket, thermal layers, gloves, beanie"
0.0,92,25,2.0,"Puffer jacket, thermal layers, gloves, beanie"
-2.0,95,30,4.5,"Puffer jacket, thermal layers, gloves, beanie"
1.5,88,32,2.5,"Puffer jacket, thermal layers, gloves, beanie"
-1.0,90,28,3.8,"Puffer jacket, thermal layers, gloves, beanie"
0.5,85,20,1.0,"Puffer jacket, thermal layers, gloves, beanie"

9.0,70,10,0.0,"Hoodie, joggers, and sneakers"
8.5,75,12,0.1,"Hoodie, joggers, and sneakers"
7.0,80,15,0.0,"Hoodie, joggers, and sneakers"
10.0,60,12,0.0,"Hoodie, joggers, and sneakers"
9.5,70,14,0.0,"Hoodie, joggers, and sneakers"
10.2,75,18,0.2,"Hoodie, joggers, and sneakers"

26.0,60,10,0.0,"Short-sleeve shirt, jeans, and sneakers"
28.0,55,8,0.0,"Short-sleeve shirt, jeans, and sneakers"
27.0,50,6,0.0,"Short-sleeve shirt, jeans, and sneakers"
25.0,65,9,0.0,"Short-sleeve shirt, jeans, and sneakers"
26.5,70,12,0.1,"Short-sleeve shirt, jeans, and sneakers"
27.5,75,15,0.0,"Short-sleeve shirt, jeans, and sneakers"
28.2,60,8,0.0,"Short-sleeve shirt, jeans, and sneakers"

22.0,65,10,0.0,"Long-sleeve shirt, chinos, and sneakers"
21.5,70,12,0.0,"Long-sleeve shirt, chinos, and sneakers"
20.0,60,8,0.1,"Long-sleeve shirt, chinos, and sneakers"
19.5,55,10,0.0,"Long-sleeve shirt, chinos, and sneakers"
23.0,60,12,0.0,"Long-sleeve shirt, chinos, and sneakers"
24.0,65,10,0.2,"Long-sleeve shirt, chinos, and sneakers"
20.5,70,14,0.0,"Long-sleeve shirt, chinos, and sneakers"
21.0,75,12,0.0,"Long-sleeve shirt, chinos, and sneakers"